cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
INTE1625246A,59028,Auby,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-07,2016-09-16,2016-10-20,2022-05-24
IOME2308745A,59028,Auby,59.0,Sécheresse,2022-03-31,2022-06-29,2023-04-02,2023-05-02,
INTE1616446A,59029,Auchy-lez-orchies,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-08,2016-06-15,2016-06-16,2022-05-24
INTE2118485A,59029,Auchy-lez-orchies,59.0,Sécheresse,2020-04-01,2020-09-30,2021-06-22,2021-07-09,2022-05-24
IOME2316198A,59029,Auchy-lez-orchies,59.0,Sécheresse,2022-03-31,2022-09-29,2023-07-21,2023-09-13,
INTE0200208A,59032,Aulnoy-lez-valenciennes,54.0,Inondations et/ou coulées de boue,2002-01-27,2002-01-28,2002-04-30,2002-05-05,2022-05-24
INTE0200389A,59032,Aulnoy-lez-valenciennes,54.0,Inondations et/ou coulées de boue,2002-02-13,2002-02-13,2002-08-01,2002-08-22,2022-05-24
INTE1236505A,59032,Aulnoy-lez-valenciennes,54.0,Inondations et/ou coulées de boue,2012-07-27,2012-07-27,2012-10-18,2012-10-21,2022-05-24
IOCE1133767A,59032,Aulnoy-lez-valenciennes,54.0,Inondations et/ou coulées de boue,2011-08-23,2011-08-23,2011-12-12,2011-12-15,2022-05-24
INTE0500697A,59033,Aulnoye-aymeries,54.0,Inondations et/ou coulées de boue,2005-06-29,2005-06-29,2005-10-06,2005-10-14,2022-05-24
IOCE0755244A,59033,Aulnoye-aymeries,54.0,Inondations et/ou coulées de boue,2006-07-06,2006-07-06,2007-06-13,2007-06-15,2022-05-24
IOCE1027783A,59033,Aulnoye-aymeries,54.0,Inondations et/ou coulées de boue,2010-07-14,2010-07-14,2010-10-29,2010-11-03,2022-05-24
INTE0500890A,59034,Avelin,54.0,Inondations et/ou coulées de boue,2005-07-04,2005-07-04,2005-12-16,2005-12-30,2022-05-24
INTE1527252A,59034,Avelin,54.0,Inondations et/ou coulées de boue,2015-08-13,2015-08-13,2015-11-18,2015-11-19,2022-05-24
INTE1630434A,59035,Avesnelles,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-10-26,2016-12-07,2022-05-24
INTE1630434A,59036,Avesnes-sur-helpe,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-10-26,2016-12-07,2022-05-24
IOCE0768747A,59037,Avesnes-les-aubert,54.0,Inondations et/ou coulées de boue,2007-06-13,2007-06-13,2007-10-18,2007-10-25,2022-05-24
INTE2118485A,59039,Awoingt,59.0,Sécheresse,2020-04-01,2020-09-30,2021-06-22,2021-07-09,2022-05-24
INTE1630434A,59041,Bachant,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-10-26,2016-12-07,2022-05-24
IOCE1027783A,59041,Bachant,54.0,Inondations et/ou coulées de boue,2010-07-14,2010-07-14,2010-10-29,2010-11-03,2022-05-24
INTE1616446A,59042,Bachy,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-08,2016-06-15,2016-06-16,2022-05-24
INTE2023940A,59042,Bachy,59.0,Sécheresse,2019-07-01,2019-09-30,2020-09-15,2020-10-25,2022-05-24
INTE2127289A,59042,Bachy,59.0,Sécheresse,2020-04-01,2020-09-30,2021-09-14,2021-09-28,2022-05-24
IOME2308745A,59042,Bachy,59.0,Sécheresse,2022-03-31,2022-06-29,2023-04-02,2023-05-02,
INTE0500890A,59043,Bailleul,54.0,Inondations et/ou coulées de boue,2005-07-04,2005-07-04,2005-12-16,2005-12-30,2022-05-24
INTE1230773A,59043,Bailleul,54.0,Inondations et/ou coulées de boue,2012-03-05,2012-03-06,2012-07-27,2012-08-02,2022-05-24
INTE1240955A,59043,Bailleul,59.0,Sécheresse,2011-04-01,2011-06-30,2012-11-30,2012-12-06,2022-05-24
INTE1630464A,59043,Bailleul,59.0,Sécheresse,2015-07-01,2015-09-30,2016-10-26,2016-12-16,2022-05-24
INTE1708489A,59043,Bailleul,54.0,Inondations et/ou coulées de boue,2016-05-30,2016-05-31,2017-03-21,2017-04-28,2022-05-24
INTE2023940A,59043,Bailleul,59.0,Sécheresse,2019-07-01,2019-09-30,2020-09-15,2020-10-25,2022-05-24
INTE2207961A,59043,Bailleul,54.0,Inondations et/ou coulées de boue,2021-11-27,2021-11-29,2022-03-14,2022-03-30,2022-05-24
IOCE0772583A,59043,Bailleul,54.0,Inondations et/ou coulées de boue,2007-07-23,2007-07-24,2007-12-05,2007-12-08,2022-05-24
IOME2308745A,59043,Bailleul,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
IOME2332866A,59043,Bailleul,54.0,Inondations et/ou coulées de boue,2023-11-01,2023-11-11,2023-11-29,2023-12-11,
IOME2333648A,59043,Bailleul,,Inondations et/ou coulées de boue,2023-11-12,2023-11-23,2023-12-17,2023-12-27,
IOME2400974A,59043,Bailleul,,Inondations et/ou coulées de boue,2023-12-26,2024-01-10,2024-01-15,2024-01-23,
INTE0500890A,59044,Baisieux,54.0,Inondations et/ou coulées de boue,2005-07-04,2005-07-04,2005-12-16,2005-12-30,2022-05-24
INTE0600186A,59044,Baisieux,54.0,Inondations et/ou coulées de boue,2005-08-20,2005-08-20,2006-04-11,2006-04-22,2022-05-24
INTE1616446A,59044,Baisieux,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-08,2016-06-15,2016-06-16,2022-05-24
INTE2023940A,59044,Baisieux,59.0,Sécheresse,2019-07-01,2019-09-30,2020-09-15,2020-10-25,2022-05-24
IOME2334289A,59044,Baisieux,,Sécheresse,2022-03-31,2022-06-29,2023-12-18,2023-12-26,
INTE2118485A,59046,Bambecque,59.0,Sécheresse,2020-04-01,2020-06-30,2021-06-22,2021-07-09,2022-05-24
INTE2137449A,59046,Bambecque,54.0,Inondations et/ou coulées de boue,2021-11-27,2021-11-29,2021-12-20,2022-01-14,2022-05-24
IOCE1032143A,59046,Bambecque,59.0,Sécheresse,2009-07-01,2009-09-30,2010-12-13,2011-01-13,2022-05-24
INTE1630434A,59047,Banteux,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-07,2016-10-26,2016-12-07,2022-05-24
INTE1633036A,59047,Banteux,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-11-22,2016-12-27,2022-05-24
INTE1820387A,59047,Banteux,54.0,Inondations et/ou coulées de boue,2018-05-24,2018-05-24,2018-07-23,2018-08-15,2022-05-24
INTE1525241A,59049,Bantouzelle,54.0,Inondations et/ou coulées de boue,2015-06-05,2015-06-05,2015-10-28,2015-10-29,2022-05-24
INTE1820387A,59049,Bantouzelle,54.0,Inondations et/ou coulées de boue,2018-05-24,2018-05-24,2018-07-23,2018-08-15,2022-05-24
INTE1630434A,59050,Bas-lieu,54.0,Inondations et/ou coulées de boue,2016-06-23,2016-06-23,2016-10-26,2016-12-07,2022-05-24
INTE1625246A,59051,La bassée,54.0,Inondations et/ou coulées de boue,2016-06-07,2016-06-07,2016-09-16,2016-10-20,2022-05-24
INTE1630434A,59051,La bassée,54.0,Inondations et/ou coulées de boue,2016-05-30,2016-05-31,2016-10-26,2016-12-07,2022-05-24
INTE0100760A,59052,Bauvin,61.0,Inondations remontée nappe,2001-03-01,2001-07-19,2001-12-27,2002-01-18,2022-05-24
