cod_nat_catnat,cod_commune,lib_commune,num_risque_jo,lib_risque_jo,dat_deb,dat_fin,dat_pub_arrete,dat_pub_jo,dat_maj
INTE9300372A,59043,Bailleul,59.0,Sécheresse,1991-01-01,1992-12-31,1993-08-16,1993-09-03,2022-05-20
INTE9500219A,59043,Bailleul,59.0,Sécheresse,1993-01-01,1993-09-30,1995-05-03,1995-05-07,2022-05-20
INTE9700188A,59043,Bailleul,59.0,Sécheresse,1994-01-01,1996-09-30,1997-05-12,1997-05-25,2022-05-20
INTE9900026A,59043,Bailleul,59.0,Sécheresse,1996-10-01,1998-06-30,1999-01-21,1999-02-05,2022-05-23
IOME2308745A,59043,Bailleul,59.0,Sécheresse,2022-03-31,2022-09-29,2023-04-02,2023-05-02,
INTE0000771A,59044,Baisieux,59.0,Sécheresse,1996-01-01,1996-12-31,2000-12-27,2000-12-29,2022-05-24
INTE2023940A,59044,Baisieux,59.0,Sécheresse,2019-07-01,2019-09-30,2020-09-15,2020-10-25,2022-05-24
INTE9200181A,59044,Baisieux,59.0,Sécheresse,1990-01-01,1990-12-31,1992-04-01,1992-04-03,2022-05-20
IOME2334289A,59044,Baisieux,,Sécheresse,2022-03-31,2022-06-29,2023-12-18,2023-12-26,
INTE2118485A,59046,Bambecque,59.0,Sécheresse,2020-04-01,2020-06-30,2021-06-22,2021-07-09,2022-05-24
INTE9100354A,59046,Bambecque,59.0,Sécheresse,1990-01-01,1990-12-31,1991-08-12,1991-08-30,2022-05-20
INTE9300001A,59046,Bambecque,59.0,Sécheresse,1991-01-01,1991-12-31,1993-01-25,1993-02-07,2022-05-20
INTE9400642A,59046,Bambecque,59.0,Sécheresse,1992-01-01,1992-12-31,1995-01-12,1995-01-31,2022-05-20
INTE9800288A,59046,Bambecque,59.0,Sécheresse,1993-01-01,1997-12-31,1998-07-15,1998-07-29,2022-05-20
IOCE1032143A,59046,Bambecque,59.0,Sécheresse,2009-07-01,2009-09-30,2010-12-13,2011-01-13,2022-05-24
INTE2122515A,59052,Bauvin,59.0,Sécheresse,2020-04-01,2020-09-30,2021-07-27,2021-08-31,2022-05-24
INTE9900026A,59052,Bauvin,59.0,Sécheresse,1995-01-01,1998-06-30,1999-01-21,1999-02-05,2022-05-23
INTE9000100A,59054,Bavinchove,59.0,Sécheresse,1989-06-01,1989-12-31,1990-03-09,1990-03-22,2022-05-20
INTE9100177A,59054,Bavinchove,59.0,Sécheresse,1990-01-01,1990-12-31,1991-03-28,1991-04-17,2022-05-20
INTE9300001A,59054,Bavinchove,59.0,Sécheresse,1991-01-01,1991-12-31,1993-01-25,1993-02-07,2022-05-20
